label_dod_occ_code,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings
Electronic Equipment Repairers,"Mining, Quarrying, and Oil and Gas Extraction",0.3037231889923108,0.2842968075927524,0.19359834796076408,0.4776785714285715,0.5131958305611,0.6433887915936952,0.5847212165097755,0.5872869645324734,0.6607789855072465,0.7201454545454544,0.631230805575242,0.6414957780458383
Electronic Equipment Repairers,Utilities,0.14407122622420074,0.15465918895599653,0.11357769747031493,0.2668067226890757,0.3526280771789754,0.49408931698774083,0.279145546705286,0.3668048518347919,0.4429347826086957,0.31447272727272724,0.369950389794472,0.4720144752714113
Electronic Equipment Repairers,Construction,0.07385673816268717,0.05651423641069888,0.029426948890036143,0.16439075630252098,0.20137502772233307,0.24518388791593693,0.19732078204199854,0.2430523568248119,0.3564311594202898,0.21061818181818182,0.2647058823529412,0.33667068757539204
Electronic Equipment Repairers,Manufacturing,0.07729664103601781,0.06859361518550475,0.047237996902426437,0.37316176470588236,0.4167221113328897,0.5280210157618214,0.5771180304127443,0.4552433594349761,0.5416666666666666,0.9051636363636364,0.6406803685329554,0.5827503015681543
Electronic Equipment Repairers,Wholesale Trade,0.9338324564953461,0.5390422778257118,0.29917398038203413,0.18198529411764708,0.16766467065868262,0.19789842381786338,0.227009413468501,0.23399355135882077,0.27672101449275366,0.3256727272727272,0.3390030711079613,0.3439083232810615
Electronic Equipment Repairers,Retail Trade,0.17685147713476326,0.2405090595340811,0.20392359318533815,0.3080357142857143,0.29563096030161895,0.4192206654991244,0.4060463432295438,0.3342545677875019,0.37288647342995174,0.5198545454545455,0.36463501063075837,0.2966224366706876
Electronic Equipment Repairers,Transportation and Warehousing,0.17907729664103603,0.2571182053494392,0.2096024780588539,0.1383928571428572,0.1678864493235751,0.3202714535901927,0.1631064446053584,0.207124213112237,0.33001207729468596,0.17076363636363634,0.22501771793054576,0.31797346200241255
Electronic Equipment Repairers,Information,0.06313233508700931,0.05629853321829164,0.023231801755291687,0.09007352941176472,0.12242182302062543,0.17272329246935203,0.08164373642288192,0.16213726393367106,0.24456521739130432,0.12043636363636362,0.1755256319395228,0.3278648974668275
Electronic Equipment Repairers,Finance and Insurance,0.24888709024686362,0.17018981880931838,0.08982963345379452,0.055934873949579855,0.024395653138168105,0.04881786339754818,0.03892107168718317,0.024566252111162312,0.06355676328502413,0.031563636363636405,0.034963382943538845,0.038480096501809335
Electronic Equipment Repairers,Real Estate and Rental and Leasing,0.11412383650343991,0.1100086281276963,0.06117707795560145,0.1785714285714286,0.2131292969616323,0.2460595446584939,0.22175959449674143,0.26408721019499465,0.3121980676328502,0.27578181818181813,0.30758327427356486,0.34511459589867305
Electronic Equipment Repairers,"Professional, Scientific, and Technical Services",0.4087414002428167,0.5148835202761001,0.3680949922560661,0.34164915966386555,0.4040807274340208,0.5197022767075307,0.3077480086893555,0.36173806233686473,0.4616545893719807,0.2686545454545455,0.3479801559177888,0.42991556091676714
Electronic Equipment Repairers,Management of Companies and Enterprises,0.4850263051396196,0.92946505608283,0.8131130614352091,0.5806197478991597,0.7172322022621423,0.8662434325744309,0.5872556118754525,0.7025948103792414,0.8174818840579711,0.6432,0.6810772501771793,0.7334137515078407
Electronic Equipment Repairers,"Administrative and Support and Waste
Management and Remediation Services",0.06535815459328208,0.03041415012942192,0.0010325245224574071,0.2279411764705882,0.2719006431581281,0.3977670753064799,0.2418537291817523,0.308152924919392,0.4310084541062802,0.27927272727272723,0.34479092841956055,0.3544028950542823
Electronic Equipment Repairers,Educational Services,0.12970457304734925,0.10440034512510785,0.046205472379969026,0.3209033613445378,0.3863384342426258,0.590630472854641,0.3446777697320782,0.3909104867188699,0.5744263285024155,0.38705454545454543,0.4287739192062367,0.48902291917973456
Electronic Equipment Repairers,Health Care and Social Assistance,0.0623229461756374,0.04357204486626402,0.006711409395973155,0.2996323529411765,0.4058549567531603,0.48248686514886163,0.3408761766835626,0.44572393674190075,0.466183574879227,0.5569454545454545,0.49740137018662883,0.6103739445114595
Electronic Equipment Repairers,"Arts, Entertainment, and Recreation",0.15398624038850667,0.08973252804141502,0.01961796592669076,0.08744747899159666,0.10223996451541362,0.16834500875656744,0.0778421433743664,0.12759097190234914,0.2281099033816425,0.09861818181818183,0.180132293881408,0.19710494571773224
Electronic Equipment Repairers,Accommodation and Food Services,0.06535815459328208,0.051768766177739435,0.023231801755291687,0.2552521008403361,0.27633621645597695,0.7044658493870403,0.3084721216509775,0.3919852602487333,0.6266606280193238,0.40436363636363637,0.4408221119773211,0.5611580217129071
Electronic Equipment Repairers,Other Services (except Public Administration),0.16835289356535815,0.10742018981880933,0.03200826019617966,0.47925420168067234,0.4426702151253049,0.48708406304728546,0.5689717595944966,0.52433594349762,0.6672705314009663,0.6349090909090909,0.5531537916371367,0.612303980699638
Electronic Equipment Repairers,Public Administration,0.1954674220963173,0.09404659188955997,0.018327310273619002,0.19747899159663862,0.1752051452650255,0.2924693520140106,0.23081100651701658,0.2559496391831721,0.35477053140096615,0.30472727272727274,0.3649893692416725,0.46550060313630875
Electronic Equipment Repairers,Federal Government,0.05868069607446379,0.06729939603106128,0.013939081053175012,0.3707983193277311,0.2821024617431803,0.47088441330998254,0.40731354091238225,0.3169046522339935,0.4284420289855072,0.41876363636363634,0.31407984880699263,0.3734620024125452
"Communications and Intelligence
Specialists","Mining, Quarrying, and Oil and Gas Extraction",0.5242816673411574,0.4838222605694565,0.10041300980898296,0.5388655462184875,0.5296074517631404,0.6950525394045534,0.4375452570601013,0.4431137724550898,0.5782004830917874,0.41454545454545455,0.40668556579258214,0.5260554885404101
"Communications and Intelligence
Specialists",Utilities,0.046742209631728045,0.03731665228645384,0.018327310273619002,0.24028361344537819,0.2767797737857618,0.4700087565674256,0.2854815351194786,0.31107016735759246,0.45833333333333337,0.30472727272727274,0.38128986534372783,0.46550060313630875
"Communications and Intelligence
Specialists",Construction,0.06252529340348037,0.07765314926660916,0.05937016004130099,0.2552521008403361,0.3302284320248392,0.3695271453590193,0.28638667632150616,0.2963304160908951,0.38934178743961356,0.3463272727272727,0.35187810063784547,0.41001206272617613
"Communications and Intelligence
Specialists",Manufacturing,0.02428166734115743,0.025668679896462467,0.014455343314403717,0.3744747899159664,0.3331115546684409,0.41352889667250436,0.34522085445329465,0.3310302471979118,0.45712560386473433,0.41454545454545455,0.41211906449326713,0.443546441495778
"Communications and Intelligence
Specialists",Wholesale Trade,0.09935248887090248,0.07118205349439172,0.04026845637583893,0.09768907563025209,0.08117099135063205,0.11405429071803852,0.0944967414916727,0.08521418701059419,0.11820652173913043,0.10705454545454546,0.12827781715095676,0.16550060313630882
"Communications and Intelligence
Specialists",Retail Trade,0.028328611898016998,0.025884383088869714,0.023231801755291687,0.16412815126050417,0.24950099800399195,0.17994746059544664,0.22863866763215057,0.3073852295409181,0.24260265700483097,0.2964363636363636,0.3514056224899598,0.21218335343787692
"Communications and Intelligence
Specialists",Transportation and Warehousing,0.022662889518413602,0.02113891285591027,0.010067114093959731,0.38576680672268915,0.3912175648702595,0.6427320490367777,0.4375452570601013,0.5208045447566405,0.5609903381642511,0.5698909090909091,0.5794944483817623,0.655850422195416
"Communications and Intelligence
Specialists",Information,0.012950222581950629,0.01898188093183779,0.012648425400103254,0.18434873949579833,0.25304945664227096,0.38134851138353765,0.18482983345401882,0.293106095501305,0.387530193236715,0.24887272727272725,0.28325064965745334,0.4586248492159228
"Communications and Intelligence
Specialists",Finance and Insurance,0.21266693646297047,0.17169974115616912,0.10686628807434179,0.7232142857142858,0.7152361942781104,0.7154115586690019,0.7986965966690803,0.7471211423307231,0.753623188405797,0.9069090909090909,0.7774627923458541,0.798552472858866
"Communications and Intelligence
Specialists",Real Estate and Rental and Leasing,0.0038445973290165934,0.00086281276962899,0.002065049044914816,0.3387605042016807,0.4167221113328897,0.49759194395796846,0.447139753801593,0.43037002917242434,0.5769927536231884,0.5856,0.5388613276635956,0.6681544028950541
"Communications and Intelligence
Specialists",Management of Companies and Enterprises,0.05503844597329016,0.06406384814495256,0.05317501290655654,0.3132878151260504,0.35573297848746943,0.43717162872154114,0.4364590876176683,0.3724857976354982,0.4094202898550725,0.44596363636363634,0.3641625324828726,0.3313630880579011
"Communications and Intelligence
Specialists","Administrative and Support and Waste
Management and Remediation Services",0.029138000809388914,0.055220017256255395,0.06220960247805885,0.15756302521008403,0.15812818806830786,0.26291593695271454,0.15496017378711074,0.16520804544756634,0.2783816425120773,0.16712727272727268,0.1964327899834633,0.27587454764776836
"Communications and Intelligence
Specialists",Educational Services,0.02387697288547147,0.018334771354616048,0.011615900877645843,0.03308823529411764,0.010423597249944572,0.002189141856392296,0.027154236060825454,0.0,0.013737922705313987,0.041309090909090906,0.0,0.018094089264173663
"Communications and Intelligence
Specialists",Health Care and Social Assistance,0.007284500202347227,0.009059534081104402,0.0012906556530717598,0.17043067226890762,0.18939897981814147,0.25350262697022774,0.225199131064446,0.1919238446184554,0.26056763285024154,0.34123636363636367,0.18662886841483578,0.21037394451145958
"Communications and Intelligence
Specialists","Arts, Entertainment, and Recreation",0.060299473897207606,0.0778688524590164,0.0673722250903459,0.3700105042016807,0.41716566866267457,0.500875656742557,0.3254887762490948,0.3469983110701674,0.44202898550724634,0.29352727272727275,0.3342782896291046,0.37635705669481295
"Communications and Intelligence
Specialists",Accommodation and Food Services,0.14305949008498584,0.225625539257981,0.21321631388745482,0.5538340336134454,0.6385007762253271,0.7513134851138353,0.47393193338160744,0.5656379548595116,0.7083333333333334,0.5371636363636364,0.5432317505315378,0.6259348612786488
"Communications and Intelligence
Specialists",Other Services (except Public Administration),0.056050182112505065,0.03817946505608283,0.02581311306143521,0.576155462184874,0.7216677755599911,0.7898423817863397,0.6174873280231715,0.7070474435743896,0.8446557971014493,0.6885818181818182,0.7061185920151194,0.8914354644149576
"Communications and Intelligence
Specialists",Public Administration,0.013354917037636584,0.026747195858498704,0.018069179143004648,0.3660714285714286,0.5131958305611,0.7200087565674257,0.34811730629978277,0.5117457392906495,0.6458333333333334,0.39039999999999997,0.566619418851878,0.5661037394451145
